Time;x;y;z;acc;temp;lumen
Time;x;y;z;total;;temp;lumen
46926;-0,52;-0,02;-0,28;0,3492;1,0002625;22,94;0
47431;-0,48;-0,22;-0,27;0,3517;0,9586125;22,82;0
47936;-0,86;-0,15;0,19;0,7982;1,040725;22,82;0
48441;-2,42;-0,27;-1,1;7,1393;1,8455625;22,82;0
48946;-0,97;-0,3;-0,56;1,3445;1,92405;22,94;0
49449;-0,36;0,05;0,27;0,205;1,6907125;22,82;0
49954;-2,6;0,04;-0,55;7,0641;2,3235625;22,82;0
50459;-0,95;-0,2;-0,38;1,0869;2,2923625;22,82;0
50964;-1,02;-0,19;-0,32;1,1789;2,396075;22,82;0
51468;-1,1;-0,21;0,03;1,255;2,5089875;22,82;0
51973;-1,36;-0,39;-0,27;2,0746;2,6685375;22,82;0
52477;-1,64;-0,37;-0,12;2,8409;2,1312375;22,82;0
52982;-0,98;-0,37;-0,41;1,2654;2,12135;22,82;0
53486;-0,93;-0,12;-0,34;0,9949;2,2200875;22,82;0
53991;-0,78;-0,44;-0,26;0,8696;1,445775;22,82;0
54496;-0,81;-0,35;-0,33;0,8875;1,42085;22,82;0
55001;-0,92;-0,25;-0,39;1,061;1,4061125;22,82;0
55504;-0,92;-0,32;-0,23;1,0017;1,37445;22,82;0
56009;-1,05;-0,07;-0,45;1,3099;1,2788625;22,82;0
56514;-1,2;-0,35;0,21;1,6066;1,124575;22,82;0
57019;-1,42;-0,46;-0,25;2,2905;1,2527125;22,82;0
57524;-1,18;-0,41;-0,44;1,7541;1,3476125;22,82;0
58028;-1,01;-0,35;-0,46;1,3542;1,4081875;22,82;0
58532;-0,86;-0,15;-0,18;0,7945;1,3965625;22,82;0
59037;-0,76;-0,2;0,03;0,6185;1,34125;22,82;0
59542;-1,35;-0,54;-0,16;2,1397;1,4835;22,82;0
60046;-0,94;-0,24;-0,31;1,0373;1,449425;22,82;0
60551;-0,95;-0,36;-0,32;1,1345;1,3904125;22,82;0
61056;-0,84;-0,13;-0,2;0,7625;1,1994125;22,82;0
61560;-0,83;-0,26;-0,22;0,8049;1,0807625;22,82;0
62064;-0,73;-0,15;-0,15;0,5779;0,983725;22,82;0
62569;-0,86;-0,13;-0,08;0,7629;0,979775;22,94;0
63074;-0,78;-0,3;-0,36;0,828;1,0059625;22,82;0
63579;-1;-0,21;-0,15;1,0666;0,871825;22,82;0
64083;-1,05;-0,13;0,29;1,2035;0,8926;22,82;0
64587;-1,76;-0,1;0,31;3,2037;1,15125;22,82;0
65092;-1,65;-0,24;-0,2;2,8201;1,40845;22,94;0
65597;-0,95;-0,35;-0,2;1,065;1,4409625;22,82;0
66102;-0,99;-0,18;-0,28;1,0909;1,5050875;22,82;0
66606;-0,98;-0,42;-0,29;1,2209;1,5623375;22,82;0
67110;-0,88;-0,05;-0,21;0,821;1,5614625;22,82;0
67615;-0,74;-0,2;-0,23;0,6405;1,5082;22,82;0
68120;-1,06;-0,13;0,25;1,203;1,5081375;22,82;0
68624;-1,02;-0,18;-0,31;1,1689;1,2537875;22,82;0
69129;-0,86;-0,39;-0,05;0,8942;1,01305;22,82;0
69634;-0,7;-0,22;-0,11;0,5505;0,9487375;22,82;0
