2;-0.78;-0.04;-0.69;1.08;22.71;54.00
505;-0.77;-0.03;-0.68;1.05;22.71;55.00
1010;-0.78;-0.02;-0.67;1.05;22.71;55.00
1515;-0.77;-0.02;-0.67;1.04;22.71;54.00
2020;-0.76;-0.03;-0.68;1.04;22.71;54.00
2524;-0.77;-0.03;-0.68;1.05;22.71;54.00
3028;-0.77;-0.03;-0.69;1.07;22.71;55.00
3533;-0.75;-0.03;-0.69;1.04;22.71;54.00
4038;-0.74;-0.03;-0.70;1.04;22.71;54.00
4542;-0.75;-0.03;-0.71;1.07;22.71;53.00
5047;-0.75;-0.04;-0.69;1.04;22.71;53.00
5552;-0.75;-0.03;-0.68;1.03;22.82;35.00
6056;-0.76;-0.05;-0.68;1.04;22.71;38.00
6560;-0.75;-0.05;-0.61;0.94;22.71;52.00
7065;-0.74;-0.07;-0.60;0.91;22.82;70.00
7570;-0.75;0.02;-0.63;0.96;22.71;76.00
8075;-1.05;-0.12;-0.46;1.34;22.71;158.00
8579;-0.74;-0.05;-0.70;1.04;22.71;909.00
9083;-0.79;-0.02;-0.71;1.12;22.82;965.00
9588;-0.72;-0.02;-0.74;1.06;22.82;967.00
10093;-0.73;-0.02;-0.71;1.03;22.82;965.00
10598;-0.77;-0.07;-0.72;1.11;22.94;968.00
11103;-0.74;-0.02;-0.70;1.04;22.94;966.00
11607;-0.73;-0.04;-0.72;1.04;22.94;969.00
12111;-0.73;-0.04;-0.73;1.06;22.94;968.00
12616;-0.73;-0.06;-0.73;1.06;22.94;969.00
13121;-0.74;-0.05;-0.71;1.06;22.94;968.00
13626;-0.74;-0.04;-0.72;1.07;23.05;967.00
14130;-0.74;-0.05;-0.72;1.07;23.05;965.00
14635;-0.77;-0.06;-0.66;1.03;23.05;914.00
15139;-0.82;-0.05;-0.59;1.02;22.94;799.00
15644;-0.86;-0.07;-0.55;1.04;22.94;538.00
16149;-0.86;-0.07;-0.55;1.05;22.82;459.00
16654;-0.86;-0.07;-0.54;1.04;22.82;494.00
17159;-0.87;-0.11;-0.58;1.11;22.82;570.00
17662;-0.86;-0.22;-0.51;1.06;22.82;554.00
18167;-0.88;-0.22;-0.46;1.04;22.82;581.00
18672;-1.00;-0.20;-0.35;1.15;22.71;188.00
19177;-0.97;-0.00;-0.38;1.08;22.71;110.00
19682;-1.00;-0.04;-0.31;1.10;22.71;45.00
20187;-1.03;-0.08;-0.39;1.21;22.71;67.00
20691;-0.89;-0.07;-0.49;1.04;22.71;60.00
21195;-0.87;-0.07;-0.52;1.04;22.71;58.00
21700;-0.88;-0.07;-0.53;1.06;22.71;58.00
22205;-0.84;-0.06;-0.58;1.04;22.71;59.00
22710;-0.83;-0.06;-0.61;1.06;22.71;54.00
23215;-0.80;-0.05;-0.65;1.05;22.71;48.00
23718;-0.80;-0.05;-0.65;1.05;22.71;46.00
24223;-0.80;-0.05;-0.66;1.07;22.82;47.00
24728;-0.79;-0.05;-0.66;1.05;22.82;48.00
